['2_All/102.jpg', 0.920844327176781]
['2_All/127.jpg', 0.920844327176781]
['2_All/143.jpg', 0.920844327176781]
['2_All/174.jpg', 0.920844327176781]
['2_All/181.jpg', 0.920844327176781]
['2_All/202.jpg', 0.920844327176781]
['2_All/257.jpg', 0.920844327176781]
['2_All/275.jpg', 0.920844327176781]
['2_All/284.jpg', 0.920844327176781]
['2_All/285.jpg', 0.920844327176781]
['2_All/344.jpg', 0.920844327176781]
['2_All/346.jpg', 0.920844327176781]
['2_All/349.jpg', 0.920844327176781]
['2_All/356.jpg', 0.920844327176781]
['2_All/357.jpg', 0.920844327176781]
['2_All/361.jpg', 0.920844327176781]
['2_All/379.jpg', 0.920844327176781]
['2_All/388.jpg', 0.920844327176781]
['2_All/392.jpg', 0.920844327176781]
['2_All/447.jpg', 0.920844327176781]
['2_All/451.jpg', 0.920844327176781]
['2_All/453.jpg', 0.920844327176781]
['2_All/465.jpg', 0.920844327176781]
['2_All/488.jpg', 0.920844327176781]
['2_All/11.jpg', 0.91820580474934033]
['2_All/21.jpg', 0.91820580474934033]
['2_All/22.jpg', 0.91820580474934033]
['2_All/28.jpg', 0.91820580474934033]
['2_All/51.jpg', 0.91820580474934033]
['2_All/61.jpg', 0.91820580474934033]
['2_All/82.jpg', 0.91820580474934033]
['2_All/86.jpg', 0.91820580474934033]
['2_All/112.jpg', 0.91820580474934033]
['2_All/134.jpg', 0.91820580474934033]
['2_All/171.jpg', 0.91820580474934033]
['2_All/190.jpg', 0.91820580474934033]
['2_All/203.jpg', 0.91820580474934033]
['2_All/209.jpg', 0.91820580474934033]
['2_All/236.jpg', 0.91820580474934033]
['2_All/256.jpg', 0.91820580474934033]
['2_All/264.jpg', 0.91820580474934033]
['2_All/266.jpg', 0.91820580474934033]
['2_All/272.jpg', 0.91820580474934033]
['2_All/312.jpg', 0.91820580474934033]
['2_All/331.jpg', 0.91820580474934033]
['2_All/340.jpg', 0.91820580474934033]
['2_All/403.jpg', 0.91820580474934033]
['2_All/407.jpg', 0.91820580474934033]
['2_All/415.jpg', 0.91820580474934033]
['2_All/416.jpg', 0.91820580474934033]
['2_All/433.jpg', 0.91820580474934033]
['2_All/446.jpg', 0.91820580474934033]
['2_All/459.jpg', 0.91820580474934033]
['2_All/464.jpg', 0.91820580474934033]
['2_All/2.jpg', 0.91556728232189977]
['2_All/111.jpg', 0.91556728232189977]
['2_All/145.jpg', 0.91556728232189977]
['2_All/152.jpg', 0.91556728232189977]
['2_All/189.jpg', 0.91556728232189977]
['2_All/198.jpg', 0.91556728232189977]
['2_All/220.jpg', 0.91556728232189977]
['2_All/231.jpg', 0.91556728232189977]
['2_All/294.jpg', 0.91556728232189977]
['2_All/297.jpg', 0.91556728232189977]
['2_All/299.jpg', 0.91556728232189977]
['2_All/315.jpg', 0.91556728232189977]
['2_All/385.jpg', 0.91556728232189977]
['2_All/418.jpg', 0.91556728232189977]
['2_All/425.jpg', 0.91556728232189977]
['2_All/426.jpg', 0.91556728232189977]
['2_All/482.jpg', 0.91556728232189977]
['2_All/486.jpg', 0.91556728232189977]
['2_All/491.jpg', 0.91556728232189977]
['2_All/496.jpg', 0.91556728232189977]
['2_All/17.jpg', 0.9129287598944591]
['2_All/18.jpg', 0.9129287598944591]
['2_All/60.jpg', 0.9129287598944591]
['2_All/108.jpg', 0.9129287598944591]
['2_All/137.jpg', 0.9129287598944591]
['2_All/154.jpg', 0.9129287598944591]
['2_All/159.jpg', 0.9129287598944591]
['2_All/215.jpg', 0.9129287598944591]
['2_All/218.jpg', 0.9129287598944591]
['2_All/242.jpg', 0.9129287598944591]
['2_All/248.jpg', 0.9129287598944591]
['2_All/253.jpg', 0.9129287598944591]
['2_All/322.jpg', 0.9129287598944591]
['2_All/408.jpg', 0.9129287598944591]
['2_All/439.jpg', 0.9129287598944591]
['2_All/454.jpg', 0.9129287598944591]
['2_All/484.jpg', 0.9129287598944591]
['2_All/23.jpg', 0.91029023746701843]
['2_All/26.jpg', 0.91029023746701843]
['2_All/129.jpg', 0.91029023746701843]
['2_All/162.jpg', 0.91029023746701843]
['2_All/168.jpg', 0.91029023746701843]
['2_All/194.jpg', 0.91029023746701843]
['2_All/355.jpg', 0.91029023746701843]
['2_All/365.jpg', 0.91029023746701843]
['2_All/368.jpg', 0.91029023746701843]
['2_All/374.jpg', 0.91029023746701843]
['2_All/410.jpg', 0.91029023746701843]
['2_All/83.jpg', 0.90765171503957787]
['2_All/100.jpg', 0.90765171503957787]
['2_All/113.jpg', 0.90765171503957787]
['2_All/144.jpg', 0.90765171503957787]
['2_All/151.jpg', 0.90765171503957787]
['2_All/192.jpg', 0.90765171503957787]
['2_All/325.jpg', 0.90765171503957787]
['2_All/329.jpg', 0.90765171503957787]
['2_All/347.jpg', 0.90765171503957787]
['2_All/348.jpg', 0.90765171503957787]
['2_All/369.jpg', 0.90765171503957787]
['2_All/406.jpg', 0.90765171503957787]
['2_All/411.jpg', 0.90765171503957787]
['2_All/430.jpg', 0.90765171503957787]
['2_All/470.jpg', 0.90765171503957787]
['2_All/475.jpg', 0.90765171503957787]
['2_All/73.jpg', 0.9050131926121372]
['2_All/105.jpg', 0.9050131926121372]
['2_All/149.jpg', 0.9050131926121372]
['2_All/155.jpg', 0.9050131926121372]
['2_All/175.jpg', 0.9050131926121372]
['2_All/247.jpg', 0.9050131926121372]
['2_All/306.jpg', 0.9050131926121372]
['2_All/308.jpg', 0.9050131926121372]
['2_All/448.jpg', 0.9050131926121372]
['2_All/456.jpg', 0.9050131926121372]
['2_All/0.jpg', 0.90237467018469653]
['2_All/55.jpg', 0.90237467018469653]
['2_All/160.jpg', 0.90237467018469653]
['2_All/222.jpg', 0.90237467018469653]
['2_All/226.jpg', 0.90237467018469653]
['2_All/245.jpg', 0.90237467018469653]
['2_All/350.jpg', 0.90237467018469653]
['2_All/412.jpg', 0.90237467018469653]
['2_All/431.jpg', 0.90237467018469653]
['2_All/435.jpg', 0.90237467018469653]
